[2025-02-10 09:22:13] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-02-10 09:22:13] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2025-02-10 09:22:13] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-02-10 09:22:14] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-02-10 09:22:14] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-02-10 09:22:14] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-02-10 09:22:14] [class-ss-setup-task.php:33] Creating archive directory: /Applications/XAMPP/xamppfiles/htdocs/assignment/wordpress/wp-content/uploads/simply-static/temp-files/simply-static-1-1739179333/
[2025-02-10 09:22:14] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/assignment/wordpress/
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/jquery-easing/jquery-easing.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/jquery-easing/jquery-easing.min.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/pickr/pickr.min.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/pickr/themes/monolith.min.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/share-link/share-link.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/hover/hover.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/hover/hover.min.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/jquery-hover-intent/jquery-hover-intent.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/jquery-hover-intent/jquery-hover-intent.min.js
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2025-02-10 09:22:14] [class-elementor-integration.php:220] Adding elementor bundle asset to queue: http://localhost/assignment/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
